Finding ID,Source Audit File,Module,Route,Screen,Persona,User Journey,Severity,Original Finding,Root Cause,Fix Decision,Code Files Changed,Test Evidence,Runtime Evidence,Screenshot Path,Status,Notes
CAT-0011,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P1,7. **`incidentLifecycle.ts`'s `STATUS_TRANSITIONS` may not fully match the DB.** I verified `derive_incident_priority()` and SLA numbers against the DB and fixed the drift; I did NOT cross-check every status transition rule against DB trigg,Incident status transition UI risk is documented because frontend lifecycle rules may not match DB constraints.,Prove every UI transition against DB transition constraints before exposing status buttons.,,,,,Deferred,Staged for Incident Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0012,catalyst_p0_p1_static_findings_1000.csv,Incident Hub,,,,,P0,"5. **Committee Queue page is functional but minimal.** No ""Approve""/""Veto"" buttons wired in the drawer yet (the mutations exist: `useRecordApproval`, `useRecordVeto`, `useTransitionOnApproval` in `src/hooks/useCommitteeQueue.ts` — page just","The handover documents missing Approve/Veto and Send-to-Committee paths at that point, making governance non-operable without later fixes.","Keep these as regression tests: committee send, approve, veto, aggregate, and incident-state update.",,,,,Deferred,P0 but scoped to Incident Hub wave (Slice 3+); depends on re-verifying features/CAT-INCIDENT-GOVERNANCE-20260703-001/07_HANDOVER.md currency first.
CAT-0013,catalyst_p0_p1_static_findings_1000.csv,Release Hub,,,,,P1,createRelease.mutate(,"Release can be created from metadata fields without declaring scope, test evidence, signoffs, freeze-window check, or rollback plan.",Introduce release readiness wizard/checklist before status can progress beyond draft.,,,,,Deferred,Staged for Release Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0014,catalyst_p0_p1_static_findings_1000.csv,Release Hub,,,,,P1,"<Route path=""/release-hub/releases-management"" element={<S><ReleasesPageLazy /></S>} />","Release Hub has releases-management detail routes and also a catch-all release detail route, creating URL-model ambiguity.",Use one canonical release URL; redirect or delete the fallback once inbound links are migrated.,,,,,Deferred,Staged for Release Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0015,catalyst_p0_p1_static_findings_1000.csv,Release Hub,,,,,P1,"<Route path=""/release-hub/:releaseId"" element={<S><ReleaseDetailPage /></S>} />",The `/release-hub/:releaseId` fallback can compete mentally with `/release-hub/releases-management/:releaseSlug`.,"Publish one URL contract and update route builders, toasts, links, and docs.",,,,,Deferred,Staged for Release Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0016,catalyst_p0_p1_static_findings_1000.csv,STRATA / Strategy,,,,,P1,"<Route path=""*"" element={<S><CommandCenterPage /></S>} />","Unknown STRATA deep links silently render Command Center, masking broken navigation and audit evidence.",Replace wildcard fallback with module-specific NotFound/recovery that preserves broken URL evidence.,,,,,Deferred,Staged for STRATA / Strategy remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0017,catalyst_p0_p1_static_findings_1000.csv,STRATA / Strategy,,,,,P1,export interface StrataKpi extends GovernedEnvelope {,"KPI model is rich, but the UI must enforce business meaning, owner, validator, threshold scheme, and data source before approval.",Add KPI readiness checklist and block approve/live until required governance fields are complete.,,,,,Deferred,Staged for STRATA / Strategy remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0018,catalyst_p0_p1_static_findings_1000.csv,STRATA / Strategy,,,,,P1,validation_status: ValidationStatus;,KPI actuals carry validation_status and confidence; scorecards must display these or executives may trust unvalidated data.,"Show validation/confidence badges in KPI detail, scorecard lines, and board packs.",,,,,Deferred,Staged for STRATA / Strategy remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0019,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,- Mobile <1024px layout; read receipts (no schema); slash commands; fenced code blocks;,Chat handover documents hardcoded English strings and incomplete full-shell RTL mirroring.,"Move chat strings to i18n and run Arabic/RTL screenshot proof across shell, modals, composer, and dock.",,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0020,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,- Mobile <1024px slice: single-content-column grid branching via new useMediaQuery; desktop,Mobile layout branch was code-reviewed but runtime proof was blocked.,"Collect <1024px screenshots and Playwright/DOM proof for Home, DM, channel, thread, search, huddle, and composer.",,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0021,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,"- Some activity rows show ""Someone"" — staging seed users missing profile rows (data, not code).","Some activity rows can show “Someone”, degrading enterprise identity clarity.",Enforce profile joins/fallbacks and show accountable missing-profile diagnostic.,,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0022,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,"- Silent error-swallowing pattern across chat hooks (intentional degradation, zero logging).",Silent error-swallowing is documented across chat hooks.,Replace silent degradation with visible non-blocking error states and structured warnings.,,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0023,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,"- CATY dock (separate v1 surface, own dock.css) got the pill-row craft + legible section",Dock has documented pre-existing broken tests.,Fix AuthProvider wrapper/stale splitPinnedFavourites tests and gate dock changes with CI.,,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0024,catalyst_p0_p1_static_findings_1000.csv,Chat,,,,,P1,"Vikram review: ""text is like ants… work very hard on the typography"". Root cause: ~160 uses of",Chat typography previously used very small body tokens at scale; this must remain a regression guard.,Add typography snapshot/audit to prevent return of 11px body text in chat surfaces.,,,,,Deferred,Staged for Chat remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0025,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// Placeholder for potential detail view,Placeholder surface can leak unfinished design into production journeys.,Replace with canonical empty state or remove route/menu exposure.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0026,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"const { cycleKey, id: legacyId, projectKey = 'BAU' } = useParams<{ cycleKey?: string; id?: string; projectKey?: string }>();",Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0027,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// aren't serializable into localStorage) — warn instead of silently,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0028,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ display: 'flex', alignItems: 'center', justifyContent: 'center', minHeight: '100%', padding: 48 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0029,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const cycleParam = cycleKey ?? legacyId;,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0030,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const createCase = useCreateTestCase({ silent: true });,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0031,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0032,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"id: legacyId,",Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0033,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* 'draft'/'planned' and 'active'/'in_progress' as silent duplicate,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0034,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"padding: 48,",Ad-hoc padding fragments spacing rhythm and viewport density.,Use canonical spacing tokens/layout primitives.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0035,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const cycleParam = cycleKey ?? legacyId;,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0036,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"* (destroying step identity, and — before P1-S1's soft-delete — silently",Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0037,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ fontFamily: 'var(--ds-font-family-code)', color: 'var(--ds-text-subtlest)', fontSize: 'var(--ds-font-size-200)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0038,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"const { cycleKey, id: legacyId, projectKey = 'BAU' } = useParams<{ cycleKey?: string; id?: string; projectKey?: string }>();",Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0039,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,export function useCreateTestCase(options?: { silent?: boolean }) {,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0040,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,<div style={{ color: 'var(--ds-text)' }}>,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0041,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const cycleParam = cycleKey ?? legacyId;,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0042,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const silent = options?.silent ?? false;,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0043,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ display: 'flex', gap: 4 }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0044,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"DEPRECATED: { appearance: 'removed',    label: 'Deprecated' },",Deprecated code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0045,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,if (!silent) {,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0046,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ padding: 32, display: 'flex', justifyContent: 'center' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0047,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"deprecated: { appearance: 'removed',    label: 'Deprecated' },",Deprecated code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0048,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,export function useCloneTestCase(options?: { silent?: boolean }) {,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0049,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"return <div style={{ padding: 32, color: 'var(--ds-text-danger)' }}>Cycle not found</div>;",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0050,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// active Test Space) only when the route key matches nothing (legacy no-key URL).,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0051,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,const silent = options?.silent ?? false;,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0052,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ padding: 'var(--ds-space-300)', width: '100%', boxSizing: 'border-box', fontFamily: 'var(--ds-font-family-body)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0053,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* zero-padding because two generators disagree and legacy imports add more,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0054,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,if (!silent) {,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0055,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,<div style={{ marginBottom: 'var(--ds-space-300)' }}>,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0056,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"*   - legacy imported rows → 3-digit (RVTC-001, RVDF-001) and 5-digit (DEF-00001)",Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0057,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// were silent duplicate synonyms; paused had zero UI representation).,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0058,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ display: 'flex', gap: 'var(--ds-space-100)', alignItems: 'center' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0059,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"// defect via tm_defect_links, real tm_test_runs rows — not a dead/legacy",Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0060,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// Never clone with a silently-empty scope.,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0061,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<div style={{ marginBottom: 'var(--ds-space-300)', display: 'flex', alignItems: 'center', gap: 'var(--ds-space-150)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0062,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* Reads canonical tm_test_runs via tm_cycle_scope (the legacy,Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0063,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,only when the model reported gaps (zero-assumption: silent,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0064,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,<div style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0065,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* - dedicated Bodies under ./bodies (Phase 2 Lane A; legacy standalone pages deleted),Legacy code/route/copy creates split mental models and old/new surface ambiguity.,Retire or redirect with measurable canonical ownership.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0066,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* silently truncates and reports read it as truth (the burndown showed 104 of,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0067,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,<div style={{,Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0068,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"// as resolved/closed), never silently rebucketed.",Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0069,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-subtle)' }}>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0070,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,// Paged past the server max_rows cap — truncation silently drops stories.,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0071,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-success)' }}>{passed} passed</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0072,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"*  .limit() alone silently truncates and undercounts sprints), so page. */",Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0073,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-danger)' }}>{failed} failed</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
CAT-0074,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,* Every query THROWS on error (no silent {data} destructure).,Silent behavior hides user-impacting failure.,Show visible error/retry path and log structured breadcrumb.,,,,,Deferred,Staged for Test Hub remediation wave per docs/audits/catalyst-remediation-plan.md wave order.
CAT-0075,catalyst_p0_p1_static_findings_1000.csv,Test Hub,,,,,P1,"<span style={{ fontSize: 'var(--ds-font-size-200)', color: 'var(--ds-text-warning)' }}>{blocked} blocked</span>",Inline/local style bypasses canonical spacing/typography/density governance.,Move styling into canonical components/tokens or register an exception.,,,,,Deferred,"Staged for module UI-standardization batch pass (mechanical inline-style/token-migration sweep), not yet scheduled to a slice."
